類別：所有類別

週,AI: (台灣),CHATGPT: (台灣),輝達: (台灣),台積電: (台灣)
2023-01-01,14,6,1,30
2023-01-08,14,8,1,48
2023-01-15,12,7,1,26
2023-01-22,11,6,1,15
2023-01-29,17,16,1,54
2023-02-05,19,39,1,42
2023-02-12,31,66,1,52
2023-02-19,30,100,2,39
2023-02-26,27,87,1,26
2023-03-05,28,70,1,31
2023-03-12,28,66,1,34
2023-03-19,31,66,2,34
2023-03-26,30,58,2,28
2023-04-02,23,49,1,17
2023-04-09,27,56,1,34
2023-04-16,26,52,1,39
2023-04-23,27,48,1,37
2023-04-30,24,43,1,23
2023-05-07,25,43,1,28
2023-05-14,25,41,2,33
2023-05-21,32,40,13,34
2023-05-28,41,41,18,36
2023-06-04,32,39,5,33
2023-06-11,36,37,5,39
2023-06-18,31,22,4,20
2023-06-25,34,21,5,26
2023-07-02,31,19,4,27
2023-07-09,35,22,5,27
2023-07-16,36,20,6,37
2023-07-23,32,18,5,26
2023-07-30,27,18,4,23
2023-08-06,26,19,7,26
2023-08-13,25,19,9,25
2023-08-20,26,17,23,26
2023-08-27,25,21,10,23
2023-09-03,24,20,7,24
2023-09-10,26,21,7,25
2023-09-17,27,25,7,26
2023-09-24,31,25,5,22
2023-10-01,36,25,6,22
2023-10-08,28,22,6,20
2023-10-15,30,30,7,35
2023-10-22,27,35,6,25
2023-10-29,30,34,6,24
2023-11-05,30,37,6,27
2023-11-12,32,32,5,28
2023-11-19,33,32,9,24
2023-11-26,34,29,5,23
2023-12-03,39,32,6,22
2023-12-10,36,37,6,25
2023-12-17,38,39,4,22
2023-12-24,39,39,4,21
2023-12-31,36,36,3,22
