日期,外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
1-3,"4,000","1,000",0,0,0,0,0,0,"7,033",0,0,0,"218,000","210,967","7,033","8,033"
1-4,0,0,0,0,0,0,0,0,"5,000",0,0,0,"87,000","82,000","5,000","5,000"
1-5,"4,000","-4,000",0,0,0,0,0,0,"17,000",0,0,0,"274,000","257,000","17,000","13,000"
1-6,0,0,0,0,0,0,0,0,"-36,652",0,0,0,"58,348","95,000","-36,652","-36,652"
1-9,"2,000","-2,000",0,0,0,0,0,0,"-5,000",0,0,0,"93,000","98,000","-5,000","-7,000"
1-10,"1,000","-1,000",0,0,0,0,0,0,"73,366",0,0,0,"130,366","57,000","73,366","72,366"
1-11,50,-50,0,0,0,0,0,0,"-1,000",0,0,0,"12,000","13,000","-1,000","-1,050"
1-12,50,"24,950",0,0,0,0,0,0,"25,050",0,0,0,"225,050","200,000","25,050","50,000"
1-13,0,"217,000",0,0,0,0,0,0,"-219,000",0,0,0,"53,000","272,000","-219,000","-2,000"
1-16,"1,000","-1,000",0,0,0,0,0,0,"23,000",0,0,0,"51,000","28,000","23,000","22,000"
1-17,0,"30,000",0,0,0,0,0,0,"-61,000",0,0,0,"5,000","66,000","-61,000","-31,000"
1-30,"1,000",0,0,0,0,0,0,0,"35,313",0,0,0,"103,313","68,000","35,313","35,313"
1-31,0,0,0,0,0,0,0,0,"14,879",0,0,0,"27,000","12,121","14,879","14,879"
2-1,0,0,0,0,0,0,0,0,"59,062",0,0,0,"79,062","20,000","59,062","59,062"
2-2,0,"195,000",0,0,0,0,0,0,"-185,398",0,0,0,"67,602","253,000","-185,398","9,602"
2-3,"36,000","132,000",0,0,0,0,0,0,"-51,949",0,0,0,"153,051","205,000","-51,949","80,051"
2-6,"5,000","-3,000",0,0,0,0,0,0,"-34,000",0,0,0,"4,000","38,000","-34,000","-37,000"
2-7,0,"2,000",0,0,0,0,0,0,"5,000",0,0,0,"62,000","57,000","5,000","7,000"
2-8,"25,000","-25,000",0,0,0,0,0,0,"-25,000",0,0,0,"6,000","31,000","-25,000","-50,000"
2-9,"4,000","-4,000",0,0,0,0,0,0,"-59,000",0,0,0,"22,000","81,000","-59,000","-63,000"
2-10,"76,000","-72,000",0,0,0,0,0,0,"21,896",0,0,0,"125,000","103,104","21,896","-50,104"
2-13,"82,000","-82,000",0,0,0,0,0,0,"30,612",0,0,0,"129,000","98,388","30,612","-51,388"
2-14,100,"1,900",0,0,0,0,0,0,"-34,000",0,0,0,"12,000","46,000","-34,000","-32,100"
2-15,0,"1,000",0,0,0,0,0,0,"1,000",0,0,0,"39,000","38,000","1,000","2,000"
2-16,0,"84,000",0,0,0,0,0,0,"-80,000",0,0,0,"102,000","182,000","-80,000","4,000"
2-17,"9,000","-7,000",0,0,0,0,0,0,"-30,242",0,0,0,"52,000","82,242","-30,242","-37,242"
2-20,"2,000","-2,000",0,0,0,0,0,0,"-18,000",0,0,0,"78,000","96,000","-18,000","-20,000"
2-21,"3,000","-1,000",0,0,0,0,0,0,"12,000",0,0,0,"21,000","9,000","12,000","11,000"
2-22,"15,000","-13,000",0,0,0,0,0,0,"16,702",0,0,0,"31,000","14,298","16,702","3,702"
2-23,"18,000","-18,000",0,0,0,0,0,0,"-26,000",0,0,0,"30,000","56,000","-26,000","-44,000"
2-24,"4,000","-4,000",0,0,0,0,0,0,"4,000",0,0,0,"38,000","34,000","4,000",0
3-1,"8,000","-8,000",0,0,0,0,0,0,"-22,000",0,0,0,"3,000","25,000","-22,000","-30,000"
3-2,"2,000","14,000",0,0,0,0,0,0,"-27,000",0,0,0,"58,000","85,000","-27,000","-13,000"
3-3,0,"2,000",0,0,0,0,0,0,"40,000",0,0,0,"51,000","11,000","40,000","42,000"
3-6,0,"8,000",0,0,0,0,0,0,"85,000",0,0,0,"265,000","180,000","85,000","93,000"
3-7,"65,000","-57,000",0,0,0,0,0,0,"29,261",0,0,0,"78,261","49,000","29,261","-27,739"
3-8,"11,000","-11,000",0,0,0,0,0,0,"-47,000",0,0,0,"69,000","116,000","-47,000","-58,000"
3-9,"1,000","-1,000",0,0,0,0,0,0,"15,000",0,0,0,"120,000","105,000","15,000","14,000"
3-10,"1,000","-1,000",0,0,0,0,0,0,"33,855",0,0,0,"137,070","103,215","33,855","32,855"
3-13,"166,000","-166,000",0,0,0,0,0,0,"125,000",0,0,0,"265,000","140,000","125,000","-41,000"
3-14,"376,000","-371,000",0,0,0,0,0,0,"295,965",0,0,0,"444,000","148,035","295,965","-75,035"
3-15,0,"1,000",0,0,0,0,0,0,"-18,998",0,0,0,"42,002","61,000","-18,998","-17,998"
3-16,0,0,0,0,0,0,0,0,"10,000",0,0,0,"24,000","14,000","10,000","10,000"
3-17,"1,000","-1,000",0,0,0,0,0,0,"1,562",0,0,0,"51,562","50,000","1,562",562
3-20,"11,000","-11,000",0,0,0,0,0,0,"-24,207",0,0,0,"185,000","209,207","-24,207","-35,207"
3-21,"1,000","4,000",0,0,0,0,0,0,"-9,000",0,0,0,"11,000","20,000","-9,000","-5,000"
3-22,0,"1,000",0,0,0,0,0,0,"8,000",0,0,0,"24,000","16,000","8,000","9,000"
3-23,"57,000","-56,000",0,0,0,0,0,0,"10,470",0,0,0,"31,000","20,530","10,470","-45,530"
3-24,"60,000","-60,000",0,0,0,0,0,0,"57,000",0,0,0,"109,000","52,000","57,000","-3,000"
3-27,"3,000","-3,000",0,0,0,0,0,0,"-30,000",0,0,0,"60,000","90,000","-30,000","-33,000"
