交易日期,收盤價,漲跌價,漲跌幅,至2023/12/29累積漲跌幅
'23/12/29,30.9,-0.06,-0.19%,-0.19%
'23/12/28,30.96,0,0%,-0.19%
'23/12/27,30.96,0.06,0.19%,0%
'23/12/26,30.9,-0.07,-0.23%,-0.23%
'23/12/25,30.97,0.18,0.58%,0.36%
'23/12/22,30.79,-0.09,-0.29%,0.06%
'23/12/21,30.88,-0.4,-1.28%,-1.21%
'23/12/20,31.28,0.42,1.36%,0.13%
'23/12/19,30.86,-0.12,-0.39%,-0.26%
'23/12/18,30.98,0.19,0.62%,0.36%
'23/12/15,30.79,0.32,1.05%,1.41%
'23/12/14,30.47,0.47,1.57%,3%
'23/12/13,30,0.12,0.40%,3.41%
'23/12/12,29.88,0.23,0.78%,4.22%
'23/12/11,29.65,0.37,1.26%,5.53%
'23/12/08,29.28,-0.05,-0.17%,5.35%
'23/12/07,29.33,-0.11,-0.37%,4.96%
'23/12/06,29.44,0.15,0.51%,5.50%
'23/12/05,29.29,-0.08,-0.27%,5.21%
'23/12/04,29.37,0.34,1.17%,6.44%
'23/12/01,29.03,0.03,0.10%,6.55%
'23/11/30,29,0.32,1.12%,7.74%
'23/11/29,28.68,0.01,0.03%,7.78%
'23/11/28,28.67,-0.12,-0.42%,7.33%
'23/11/27,28.79,0.1,0.35%,7.70%
'23/11/24,28.69,-0.01,-0.03%,7.67%
'23/11/23,28.7,0.16,0.56%,8.27%
'23/11/22,28.54,-0.23,-0.80%,7.40%
'23/11/21,28.77,0.22,0.77%,8.23%
'23/11/20,28.55,0.03,0.11%,8.35%
'23/11/17,28.52,-0.16,-0.56%,7.74%
'23/11/16,28.68,-0.06,-0.21%,7.52%
'23/11/15,28.74,0.87,3.12%,10.90%
'23/11/14,27.87,-0.01,-0.04%,10.80%
'23/11/13,27.88,0.32,1.16%,12.10%
'23/11/10,27.56,-0.18,-0.65%,11.40%
'23/11/09,27.74,-0.01,-0.04%,11.40%
'23/11/08,27.75,0.04,0.14%,11.50%
'23/11/07,27.71,-0.02,-0.07%,11.40%
'23/11/06,27.73,0.57,2.10%,13.80%
'23/11/03,27.16,0.49,1.84%,15.90%
'23/11/02,26.67,0.32,1.21%,17.30%
'23/11/01,26.35,0.33,1.27%,18.80%
'23/10/31,26.02,-0.28,-1.06%,17.50%
'23/10/30,26.3,-0.12,-0.45%,17%
'23/10/27,26.42,0.15,0.57%,17.60%
'23/10/26,26.27,-0.72,-2.67%,14.50%
'23/10/25,26.99,0.16,0.60%,15.20%
'23/10/24,26.83,-0.13,-0.48%,14.60%
'23/10/23,26.96,-0.34,-1.25%,13.20%
'23/10/20,27.3,-0.27,-0.98%,12.10%
'23/10/19,27.57,-0.53,-1.89%,9.96%
'23/10/18,28.1,0.12,0.43%,10.40%
'23/10/17,27.98,0.05,0.18%,10.60%
'23/10/16,27.93,-0.3,-1.06%,9.46%
'23/10/13,28.23,-0.32,-1.12%,8.23%
'23/10/12,28.55,0.06,0.21%,8.46%
'23/10/11,28.49,0.67,2.41%,11.10%
'23/10/06,27.82,-0.21,-0.75%,10.20%
'23/10/05,28.03,0.09,0.32%,10.60%
'23/10/04,27.94,-0.58,-2.03%,8.35%
'23/10/03,28.52,-0.24,-0.83%,7.44%
'23/10/02,28.76,0.37,1.30%,8.84%
'23/09/28,28.39,0.22,0.78%,9.69%
'23/09/27,28.17,-0.27,-0.95%,8.65%
'23/09/26,28.44,-0.13,-0.46%,8.16%
'23/09/25,28.57,-0.06,-0.21%,7.93%
'23/09/22,28.63,-0.2,-0.69%,7.18%
'23/09/21,28.83,-0.37,-1.27%,5.82%
'23/09/20,29.2,-0.16,-0.54%,5.25%
'23/09/19,29.36,-0.11,-0.37%,4.85%
'23/09/18,29.47,-0.13,-0.44%,4.39%
'23/09/15,29.6,0.07,0.24%,4.64%
'23/09/14,29.53,-0.08,-0.27%,4.36%
'23/09/13,29.61,-0.22,-0.74%,3.59%
'23/09/12,29.83,0,0%,3.59%
'23/09/11,29.83,-0.08,-0.27%,3.31%
'23/09/08,29.91,-0.27,-0.89%,2.39%
'23/09/07,30.18,-0.02,-0.07%,2.32%
'23/09/06,30.2,-0.06,-0.20%,2.12%
'23/09/05,30.26,-0.12,-0.39%,1.71%
'23/09/04,30.38,0.16,0.53%,2.25%
'23/09/01,30.22,0.16,0.53%,2.79%
'23/08/31,30.06,0.13,0.43%,3.24%
'23/08/30,29.93,0.37,1.25%,4.53%
'23/08/29,29.56,0.25,0.85%,5.42%
'23/08/28,29.31,0.25,0.86%,6.33%
'23/08/25,29.06,-0.74,-2.48%,3.69%
'23/08/24,29.8,0.41,1.40%,5.14%
'23/08/23,29.39,0.16,0.55%,5.71%
'23/08/22,29.23,0.23,0.79%,6.55%
'23/08/21,29,0.01,0.03%,6.59%
'23/08/18,28.99,-0.45,-1.53%,4.96%
'23/08/17,29.44,-0.41,-1.37%,3.52%
'23/08/16,29.85,-0.4,-1.32%,2.15%
'23/08/15,30.25,0.1,0.33%,2.49%
'23/08/14,30.15,-0.2,-0.66%,1.81%
'23/08/11,30.35,-0.05,-0.16%,1.64%
'23/08/10,30.4,-0.35,-1.14%,0.49%
'23/08/09,30.75,-0.31,-1%,-0.52%
'23/08/08,31.06,-0.09,-0.29%,-0.80%
'23/08/07,31.15,0.1,0.32%,-0.48%
'23/08/04,31.05,-0.88,-2.76%,-3.23%
'23/08/02,31.93,-0.2,-0.62%,-3.83%
'23/08/01,32.13,0.35,1.10%,-2.77%
'23/07/31,31.78,-0.02,-0.06%,-2.83%
'23/07/28,31.8,-0.15,-0.47%,-3.29%
'23/07/27,31.95,0.16,0.50%,-2.80%
'23/07/26,31.79,0.07,0.22%,-2.59%
'23/07/25,31.72,-0.04,-0.13%,-2.71%
'23/07/24,31.76,0.22,0.70%,-2.03%
'23/07/21,31.54,-0.55,-1.71%,-3.71%
'23/07/20,32.09,0.11,0.34%,-3.38%
'23/07/19,31.98,0.22,0.69%,-2.71%
'23/07/18,31.76,0.24,0.76%,-1.97%
'23/07/17,31.52,-0.25,-0.79%,-2.74%
'23/07/14,31.77,0.09,0.28%,-2.46%
'23/07/13,31.68,0.25,0.80%,-1.69%
'23/07/12,31.43,0.13,0.42%,-1.28%
'23/07/11,31.3,0.56,1.82%,0.52%
'23/07/10,30.74,0.15,0.49%,1.01%
'23/07/07,30.59,-0.38,-1.23%,-0.23%
'23/07/06,30.97,-0.14,-0.45%,-0.68%
'23/07/05,31.11,-0.01,-0.03%,-0.71%
'23/07/04,31.12,-0.05,-0.16%,-0.87%
'23/07/03,31.17,0.44,1.43%,0.55%
'23/06/30,30.73,0.13,0.42%,0.98%
'23/06/29,30.6,0.31,1.02%,2.01%
'23/06/28,30.29,0.33,1.10%,3.14%
'23/06/27,29.96,-0.53,-1.74%,1.34%
'23/06/26,30.49,-0.55,-1.77%,-0.45%
'23/06/21,31.04,-0.16,-0.51%,-0.96%
'23/06/20,31.2,-0.15,-0.48%,-1.44%
'23/06/19,31.35,-0.04,-0.13%,-1.56%
'23/06/16,31.39,0.12,0.38%,-1.18%
'23/06/15,31.27,0.1,0.32%,-0.87%
'23/06/14,31.17,0.43,1.40%,0.52%
'23/06/13,30.74,0.53,1.75%,2.28%
'23/06/12,30.21,0.15,0.50%,2.79%
'23/06/09,30.06,0.23,0.77%,3.59%
'23/06/08,29.83,-0.43,-1.42%,2.12%
'23/06/07,30.26,0.25,0.83%,2.97%
'23/06/06,30.01,0.18,0.60%,3.59%
'23/06/05,29.83,0.25,0.85%,4.46%
'23/06/02,29.58,0.31,1.06%,5.57%
'23/06/01,29.27,-0.25,-0.85%,4.67%
'23/05/31,29.52,0.35,1.20%,5.93%
'23/05/30,29.17,-0.07,-0.24%,5.68%
'23/05/29,29.24,0.64,2.24%,8.04%
'23/05/26,28.6,0.11,0.39%,8.46%
'23/05/25,28.49,-0.02,-0.07%,8.38%
'23/05/24,28.51,-0.23,-0.80%,7.52%
'23/05/23,28.74,0.29,1.02%,8.61%
'23/05/22,28.45,-0.04,-0.14%,8.46%
'23/05/19,28.49,0.5,1.79%,10.40%
'23/05/18,27.99,0.39,1.41%,12%
'23/05/17,27.6,0.01,0.04%,12%
'23/05/16,27.59,0.27,0.99%,13.10%
'23/05/15,27.32,-0.16,-0.58%,12.40%
'23/05/12,27.48,-0.09,-0.33%,12.10%
'23/05/11,27.57,0.34,1.25%,13.50%
'23/05/10,27.23,-0.02,-0.07%,13.40%
'23/05/09,27.25,0.1,0.37%,13.80%
'23/05/08,27.15,0.32,1.19%,15.20%
'23/05/05,26.83,-0.11,-0.41%,14.70%
'23/05/04,26.94,-0.05,-0.19%,14.50%
'23/05/03,26.99,-0.24,-0.88%,13.50%
'23/05/02,27.23,0.28,1.04%,14.70%
'23/04/28,26.95,0.13,0.48%,15.20%
'23/04/27,26.82,-0.17,-0.63%,14.50%
'23/04/26,26.99,-0.21,-0.77%,13.60%
'23/04/25,27.2,-0.15,-0.55%,13%
'23/04/24,27.35,-0.06,-0.22%,12.70%
'23/04/21,27.41,-0.12,-0.44%,12.20%
'23/04/20,27.53,-0.18,-0.65%,11.50%
'23/04/19,27.71,0.03,0.11%,11.60%
'23/04/18,27.68,0,0%,11.60%
'23/04/17,27.68,0.02,0.07%,11.70%
'23/04/14,27.66,0.28,1.02%,12.90%
'23/04/13,27.38,-0.12,-0.44%,12.40%
'23/04/12,27.5,0.08,0.29%,12.70%
'23/04/11,27.42,0.15,0.55%,13.30%
'23/04/10,27.27,-0.02,-0.07%,13.20%
'23/04/07,27.29,0.08,0.29%,13.60%
'23/04/06,27.21,-0.31,-1.13%,12.30%
'23/03/31,27.52,0.37,1.36%,13.80%
'23/03/30,27.15,0.26,0.97%,14.90%
'23/03/29,26.89,0.08,0.30%,15.30%
'23/03/28,26.81,-0.12,-0.45%,14.70%
'23/03/27,26.93,-0.09,-0.33%,14.40%
'23/03/24,27.02,0.15,0.56%,15%
'23/03/23,26.87,-0.35,-1.29%,13.50%
'23/03/22,27.22,0.4,1.49%,15.20%
'23/03/21,26.82,-0.02,-0.07%,15.10%
'23/03/20,26.84,-0.24,-0.89%,14.10%
'23/03/17,27.08,0.31,1.16%,15.40%
'23/03/16,26.77,-0.1,-0.37%,15%
'23/03/15,26.87,0.24,0.90%,16%
'23/03/14,26.63,-0.61,-2.24%,13.40%
'23/03/13,27.24,-0.01,-0.04%,13.40%
'23/03/10,27.25,-0.6,-2.15%,11%
'23/03/09,27.85,0.08,0.29%,11.30%
'23/03/08,27.77,-0.38,-1.35%,9.77%
'23/03/07,28.15,0.07,0.25%,10%
'23/03/06,28.08,0.72,2.63%,12.90%
'23/03/03,27.36,0.39,1.45%,14.60%
'23/03/02,26.97,-0.34,-1.24%,13.10%
'23/03/01,27.31,0.17,0.63%,13.90%
'23/02/24,27.14,-0.02,-0.07%,13.80%
'23/02/23,27.16,0.23,0.85%,14.70%
'23/02/22,26.93,-0.43,-1.57%,12.90%
'23/02/21,27.36,-0.16,-0.58%,12.30%
'23/02/20,27.52,-0.04,-0.15%,12.10%
'23/02/17,27.56,-0.39,-1.40%,10.60%
'23/02/16,27.95,0.58,2.12%,12.90%
'23/02/15,27.37,0.21,0.77%,13.80%
'23/02/14,27.16,0.34,1.27%,15.20%
'23/02/13,26.82,-0.33,-1.22%,13.80%
'23/02/10,27.15,-0.46,-1.67%,11.90%
'23/02/09,27.61,-0.13,-0.47%,11.40%
'23/02/08,27.74,0.19,0.69%,12.20%
'23/02/07,27.55,-0.09,-0.33%,11.80%
'23/02/06,27.64,-0.12,-0.43%,11.30%
'23/02/03,27.76,0.49,1.80%,13.30%
'23/02/02,27.27,0.66,2.48%,16.10%
'23/02/01,26.61,0.51,1.95%,18.40%
'23/01/31,26.1,-0.26,-0.99%,17.20%
'23/01/30,26.36,0.9,3.53%,21.40%
'23/01/17,25.46,-0.18,-0.70%,20.50%
'23/01/16,25.64,0.39,1.54%,22.40%
'23/01/13,25.25,0.06,0.24%,22.70%
'23/01/12,25.19,0.38,1.53%,24.50%
'23/01/11,24.81,0.3,1.22%,26.10%
'23/01/10,24.51,0.14,0.57%,26.80%
'23/01/09,24.37,0.18,0.74%,27.70%
'23/01/06,24.19,-0.28,-1.14%,26.30%
'23/01/05,24.47,0.23,0.95%,27.50%
'23/01/04,24.24,0.07,0.29%,27.80%
'23/01/03,24.17,0.14,0.58%,28.60%
