日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/01/03,"240,600","5,811,662",24.10,24.23,24.06,24.17,+0.14,530
112/01/04,"108,503","2,628,630",24.16,24.25,24.16,24.24,+0.07,113
112/01/05,"289,341","7,071,785",24.43,24.48,24.37,24.47,+0.23,993
112/01/06,"102,872","2,489,264",24.15,24.25,24.11,24.19,-0.28,537
112/01/09,"118,860","2,892,141",24.38,24.38,24.31,24.37,+0.18,437
112/01/10,"136,433","3,345,317",24.60,24.60,24.46,24.51,+0.14,970
112/01/11,"31,691","785,289",24.78,24.82,24.75,24.81,+0.30,241
112/01/12,"256,075","6,446,079",25.11,25.21,25.11,25.19,+0.38,688
112/01/13,"287,467","7,275,569",25.36,25.45,25.23,25.25,+0.06,853
112/01/16,"78,785","2,019,509",25.60,25.68,25.58,25.64,+0.39,137
112/01/17,"72,544","1,849,786",25.52,25.52,25.46,25.46,-0.18,846
112/01/30,"159,412","4,204,939",26.22,26.50,26.22,26.36,+0.90,823
112/01/31,"45,690","1,197,166",26.36,26.36,26.09,26.10,-0.26,129
112/02/01,"87,086","2,313,354",26.55,26.61,26.54,26.61,+0.51,934
112/02/02,"329,465","8,970,538",27.10,27.30,27.10,27.27,+0.66,794
112/02/03,"356,682","9,888,243",27.40,27.80,27.40,27.76,+0.49,"1,084"
112/02/06,"67,963","1,882,917",27.73,27.76,27.64,27.64,-0.12,171
112/02/07,"71,925","1,983,221",27.62,27.62,27.53,27.55,-0.09,699
112/02/08,"93,456","2,586,783",27.70,27.75,27.65,27.74,+0.19,580
112/02/09,"131,101","3,620,815",27.73,27.73,27.55,27.61,-0.13,173
112/02/10,"223,113","6,060,059",27.45,27.45,27.13,27.15,-0.46,948
112/02/13,"205,596","5,517,777",26.99,26.99,26.75,26.82,-0.33,396
112/02/14,"82,444","2,237,925",27.24,27.24,27.13,27.16,+0.34,562
112/02/15,"74,614","2,044,104",27.37,27.45,27.36,27.37,+0.21,910
112/02/16,"254,709","7,111,988",27.85,27.96,27.85,27.95,+0.58,202
112/02/17,"174,165","4,810,831",27.78,27.78,27.55,27.56,-0.39,"1,050"
112/02/20,"113,361","3,116,746",27.47,27.52,27.46,27.52,-0.04,710
112/02/21,"48,686","1,331,806",27.46,27.46,27.34,27.36,-0.16,666
112/02/22,"76,687","2,064,300",27.00,27.00,26.88,26.93,-0.43,791
112/02/23,"81,597","2,217,396",27.15,27.26,27.15,27.16,+0.23,878
112/02/24,"63,176","1,715,615",27.32,27.32,27.09,27.14,-0.02,905
112/03/01,"47,406","1,291,344",27.20,27.31,27.14,27.31,+0.17,195
112/03/02,"107,591","2,903,615",27.30,27.30,26.93,26.97,-0.34,"1,029"
112/03/03,"77,611","2,121,918",27.28,27.37,27.28,27.36,+0.39,638
112/03/06,"319,429","8,955,243",27.90,28.14,27.90,28.08,+0.72,"1,029"
112/03/07,"171,860","4,838,627",27.77,28.21,27.77,28.15,+0.07,659
112/03/08,"148,427","4,117,570",27.80,27.80,27.72,27.77,-0.38,923
112/03/09,"134,206","3,734,851",27.80,27.92,27.80,27.85,+0.08,359
112/03/10,"189,295","5,156,565",27.34,27.34,27.19,27.25,-0.60,827
112/03/13,"316,431","8,614,979",27.25,27.31,27.10,27.24,-0.01,617
112/03/14,"537,563","14,357,628",26.92,26.92,26.63,26.63,-0.61,"1,011"
